Time	 WildTypeCellMutationState	 ApcOneHitCellMutationState	 ApcTwoHitCellMutationState	 BetaCateninOneHitCellMutationState	 
288.333	58	0	0	0	
289.167	58	0	0	0	
290	59	0	0	0	
290.833	59	0	0	0	
291.667	59	0	0	0	
292.5	58	0	0	0	
293.333	60	0	0	0	
294.167	68	0	0	0	
295	70	0	0	0	
295.833	68	0	0	0	
296.667	70	0	0	0	
297.5	68	0	0	0	
298.333	62	0	0	0	
299.167	61	0	0	0	
300	60	0	0	0	
300.833	57	0	0	0	
301.667	56	0	0	0	
302.5	55	0	0	0	
303.333	56	0	0	0	
304.167	56	0	0	0	
305	57	0	0	0	
305.833	57	0	0	0	
306.667	57	0	0	0	
307.5	59	0	0	0	
308.333	62	0	0	0	
309.167	65	0	0	0	
310	71	0	0	0	
310.833	65	0	0	0	
311.667	66	0	0	0	
312.5	69	0	0	0	
313.333	68	0	0	0	
314.167	63	0	0	0	
315	62	0	0	0	
315.833	60	0	0	0	
316.667	59	0	0	0	
317.5	58	0	0	0	
318.333	57	0	0	0	
319.167	57	0	0	0	
320	57	0	0	0	
320.833	57	0	0	0	
321.667	57	0	0	0	
322.5	57	0	0	0	
323.333	60	0	0	0	
324.167	61	0	0	0	
325	64	0	0	0	
325.833	65	0	0	0	
326.667	67	0	0	0	
327.5	67	0	0	0	
328.333	67	0	0	0	
329.167	69	0	0	0	
330	65	0	0	0	
330.833	64	0	0	0	
331.667	61	0	0	0	
332.5	60	0	0	0	
333.333	58	0	0	0	
334.167	58	0	0	0	
335	56	0	0	0	
335.833	57	0	0	0	
336.667	57	0	0	0	
337.5	57	0	0	0	
338.333	59	0	0	0	
339.167	60	0	0	0	
340	63	0	0	0	
340.833	67	0	0	0	
341.667	68	0	0	0	
342.5	64	0	0	0	
343.333	66	0	0	0	
344.167	65	0	0	0	
345	65	0	0	0	
345.833	65	0	0	0	
346.667	64	0	0	0	
347.5	60	0	0	0	
348.333	59	0	0	0	
349.167	57	0	0	0	
350	57	0	0	0	
350.833	57	0	0	0	
351.667	56	0	0	0	
352.5	56	0	0	0	
353.333	55	0	0	0	
354.167	57	0	0	0	
355	60	0	0	0	
355.833	63	0	0	0	
356.667	64	0	0	0	
357.5	64	0	0	0	
358.333	63	0	0	0	
359.167	63	0	0	0	
360	64	0	0	0	
360.833	67	0	0	0	
361.667	64	0	0	0	
362.5	62	0	0	0	
363.333	63	0	0	0	
364.167	61	0	0	0	
365	59	0	0	0	
365.833	56	0	0	0	
366.667	55	0	0	0	
367.5	54	0	0	0	
368.333	55	0	0	0	
369.167	57	0	0	0	
370	59	0	0	0	
370.833	59	0	0	0	
371.667	64	0	0	0	
